progress,duration,finished,px,consent,handedness,age,gender_id,gender_strength,lang_convo,sample,scsq_1,scsq_2,scsq_3,scsq_4,scsq_5,scsq_6,scsq_7,scsq_8,scsq_9,scsq_10,scsq_11,scsq_12,scsq_13,scsq_14,scsq_15,scsq_16,scsq_17,scsq_18,scsq_19,scsq_20,scsq_21,scsq_22,scsq_23,scsq_24,scsq_25,scsq_26,scsq_27,scsq_28,scsq_29,scsq_30,scsq_31,scsq_32,scsq_33,scsq_34,scsq_35,scsq_36,scsq_37,scsq_38,scsq_39,scsq_40,scsq_41,scsq_42,scsq_43,scsq_44,scsq_45,scsq_46,scsq_47,scsq_48,scsq_49,scsq_50,scsq_51,scsq_52,scsq_53,scsq_54,scsq_55,scsq_56,scsq_57,scsq_58,scsq_59,scsq_60,cais_1,cais_2,cais_3,cais_4,cais_5,cais_6,cais_7,cais_8,cais_9,cais_10,cais_11,cais_12,cais_13,cais_14,cais_15,cais_16,eq_1,eq_2,eq_3,eq_4,eq_5,eq_6,eq_7,eq_8,eq_9,eq_10,eq_11,eq_12,eq_13,eq_14,eq_15,eq_16,eq_17,eq_18,eq_19,eq_20,eq_21,eq_22,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14,loc_15,loc_16,loc_17,loc_18,loc_19,loc_20,loc_21,loc_22,loc_23,loc_24,tas_1,tas_2,tas_3,tas_4,tas_5,tas_6,tas_7,tas_8,tas_9,tas_10,tas_11,tas_12,tas_13,tas_14,tas_15,tas_16,tas_17,tas_18,tas_19,tas_20,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,rat_1,rat_2,rat_3,rat_4,rat_5,rat_6,rat_7,rat_8,rat_9,rat_10,Q36,Q11,scsq_technical_spatial,scsq_imagery_ability,scsq_lang_words,scsq_global_bias,scsq_systematising,scsq_organisation,cais_score,eq_score,loc_internal,loc_others,loc_chance,rat_score,tas_identifying,tas_describing,tas_ext_thinking
100,1524,TRUE,R_25ZKi688asmOD7O,1,right,32,60,80,"french, english, japanese",genpop,5,5,1,5,2,5,5,4,5,5,1,1,5,5,2,4,4,5,5,1,2,1,5,1,5,5,5,5,1,4,5,2,5,5,2,1,5,2,5,5,5,5,5,1,2,5,2,5,5,5,1,3,4,1,5,5,4,3,5,5,5,5,4,5,2,4,5,5,4,5,5,5,4,4,2,5,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,2,2,5,6,4,5,4,4,4,6,2,5,4,6,2,4,5,2,4,5,5,4,4,2,1,1,5,1,1,5,5,4,1,5,1,1,4,5,5,3,5,1,1.393,194.326,204.62,25,party,fire,gold,NA,NA,camp,bow,NA,NA,key,2,NA,3.8823529411764706,4.647058823529412,4.833333333333333,1.1428571428571428,2.857142857142857,3.3333333333333335,4.3125,5,30,26,40,6,15,20,25
100,1318,TRUE,R_x0l1cT1pdWjZM7T,1,right,24,100,100,English,genpop,4,1,5,2,4,5,3,5,4,1,2,4,3,1,5,4,3,5,2,5,1,4,3,1,1,5,3,4,1,1,1,1,4,2,3,1,5,5,5,4,4,4,4,3,2,2,1,5,5,5,2,1,5,4,5,4,4,1,4,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,2,2,1,2,0,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,1,1,6,1,1,3,5,3,1,3,6,6,1,5,4,2,3,3,3,3,4,4,6,3,5,3,3,1,1,2,5,2,3,5,3,2,1,4,2,1,1,1,1,2,2,2,3.492,150.829,287.621,13,Party,NA,Gold,Common,NA,NA,Bow,NA,Coffee,NA,3,NA,2.1176470588235294,3.8823529411764706,4.833333333333333,2.857142857142857,3,3.1666666666666665,4.875,34,38,22,24,5,17,15,12
100,934,TRUE,R_3si9WnAUz3aCVt9,1,right,24,0,95,"English, Spanish, French",genpop,4,4,4,2,5,4,4,4,5,2,3,2,4,5,4,4,3,4,1,3,3,4,2,3,4,2,5,4,1,4,4,2,3,4,3,3,4,4,4,4,2,2,4,2,2,5,4,4,4,1,3,2,3,3,2,5,2,5,3,4,4,4,4,3,4,5,4,5,3,2,3,3,3,5,5,4,1,1,0,2,1,1,1,0,1,1,1,0,1,2,1,2,2,0,0,0,0,0,4,2,3,1,5,2,2,4,5,4,2,2,5,3,4,5,1,4,4,4,5,3,4,2,4,3,5,3,4,2,4,5,4,5,3,5,1,4,2,3,2,2,3,2,2.587,227.479,230.546,12,NA,Fire,Gold,Common,NA,Season,NA,NA,NA,NA,1,NA,3.764705882352941,3.7058823529411766,3,2.857142857142857,2.5714285714285716,2.8333333333333335,3.8125,18,32,26,22,3,25,22,19
100,1475,TRUE,R_3EgnakcOi44ZWaf,1,right,51,100,80,English,genpop,5,4,4,5,4,5,4,2,5,1,1,2,5,5,5,4,5,5,3,5,1,5,1,5,2,3,2,5,2,2,4,4,5,2,3,2,5,4,5,2,4,5,5,1,5,5,5,5,5,5,1,3,4,3,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,0,2,5,5,5,5,4,5,5,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,3,1,4,4,1,4,2,2,2,2,2,1,5,1,1,1,3,3,1,1,1,8.946,249.206,300.026,15,Theatre,NA,NA,Touch,NA,Warm,Down,NA,NA,NA,2,NA,3.588235294117647,4.529411764705882,4.5,2,3.5714285714285716,2.8333333333333335,5,35,31,32,32,0,18,12,12
100,1360,TRUE,R_2Xhcx9zJJIfQceA,1,right,37,100,100,"English, Polish",genpop,1,4,3,3,2,5,4,2,2,4,3,3,2,2,4,4,4,4,2,4,2,4,2,5,1,4,2,4,2,2,1,1,4,1,4,2,5,2,4,3,4,1,4,3,4,4,1,4,4,4,3,1,5,3,4,2,4,2,4,4,1,3,1,2,1,3,2,1,2,3,2,3,1,3,2,3,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,5,4,4,4,6,5,2,4,5,3,3,4,4,4,2,4,3,4,5,5,5,3,5,2,2,1,2,3,2,2,2,2,2,2,1,3,2,2,2,4,1,2,2,4,2.904,294.871,300.202,83,Party,Fire,NA,Common,Soap,Camp,NA,NA,Coffee,NA,3,NA,1.8235294117647058,3.4705882352941178,4,3,3.7142857142857144,3.5,2.0625,13,39,28,28,6,14,10,19
100,1272,TRUE,R_OKdoqYqTd6qSANj,1,right,29,100,80,English,genpop,1,5,4,4,1,4,4,4,4,1,2,3,4,5,2,4,3,3,1,1,4,1,1,1,2,3,4,4,5,4,5,4,5,2,2,1,4,4,5,5,1,3,4,2,1,4,4,5,5,1,2,4,3,2,5,5,3,4,5,5,5,4,5,3,4,4,3,4,2,5,5,4,5,3,4,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,5,2,4,4,4,1,5,1,4,5,5,5,3,5,5,4,4,4,4,5,2,5,2,4,1,4,5,2,5,5,4,4,5,2,2,2,5,1,4,2,4,2.226,227.08,229.882,42,NA,NA,NA,NA,NA,Festival,NA,NA,NA,NA,1,NA,3.7058823529411766,3.9411764705882355,2.6666666666666665,2.2857142857142856,1.4285714285714286,3.6666666666666665,4,4,28,29,31,0,23,23,22
100,2363,TRUE,R_2AM5u2Y5FzUVdO1,1,right,21,100,90,English,genpop,4,3,1,3,4,4,1,3,2,1,2,1,4,5,4,4,4,2,2,1,2,4,1,1,4,2,2,1,1,4,3,2,2,1,4,1,4,5,1,5,2,1,4,3,1,5,1,2,2,1,2,1,2,4,4,1,5,4,4,4,3,4,3,4,2,2,1,2,3,1,1,3,2,2,1,2,1,2,1,2,1,2,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,1,3,5,2,1,4,6,4,1,2,2,2,2,4,1,5,4,4,6,2,5,1,2,2,1,4,1,1,1,3,2,2,1,4,1,1,2,1,3,1,2,4,5.644,273.655,274.592,66,Party,Fire,Gold,Good,Wash,N/A,Break,Foot,N/A,Key,1,NA,2.823529411764706,2.588235294117647,2.8333333333333335,2.5714285714285716,1.1428571428571428,3.8333333333333335,2.25,38,38,17,18,5,12,12,15
100,1179,TRUE,R_30w8VLaNucI78EJ,1,right,24,80,80,English,genpop,4,2,5,3,5,5,2,5,2,5,1,3,5,4,5,5,4,5,5,5,2,5,5,5,2,5,5,3,5,4,2,2,3,5,4,3,5,2,5,5,5,2,5,4,5,4,5,5,5,5,1,3,5,2,5,4,5,5,5,3,5,5,5,5,5,5,5,5,2,5,5,5,3,5,3,5,2,2,0,1,0,0,1,0,0,2,2,0,1,0,2,2,2,1,1,0,0,1,6,4,5,2,6,5,1,5,6,6,5,6,4,6,5,5,6,2,4,6,5,5,4,2,1,4,4,1,1,5,5,5,5,2,4,5,1,1,1,4,1,2,1,1,4.343,295.891,300.121,46,Party,NA,Gold,Common,Soap,High,NA,NA,NA,NA,1,NA,3.588235294117647,4.0588235294117645,4.833333333333333,2.5714285714285716,5,4.666666666666667,4.5625,20,35,41,35,4,21,21,12
100,1606,TRUE,R_3rY7DlcfCDSs0ca,1,right,37,80,80,"English, German",genpop,2,4,4,3,4,5,2,5,5,2,3,2,4,5,5,5,5,4,5,4,2,5,2,1,4,2,4,2,5,5,5,3,4,4,3,4,4,5,5,5,4,4,5,2,2,4,5,4,4,2,3,2,2,2,5,2,5,5,5,5,3,3,3,3,3,3,3,2,2,2,3,3,4,2,2,2,1,0,0,2,0,1,1,1,1,2,2,0,1,1,1,1,2,1,1,1,1,0,3,4,4,5,5,4,3,5,5,4,4,4,5,3,3,4,1,4,5,3,5,2,5,2,2,2,2,2,2,2,1,3,3,3,2,2,1,1,1,3,1,1,1,2,3.019,297.189,300.016,37,Party,Fire,Gold,Common,Soap,NA,NA,NA,NA,NA,1,NA,4.294117647058823,4,2.8333333333333335,2.7142857142857144,2.7142857142857144,4.666666666666667,2.6875,21,37,27,28,5,13,13,11
100,1031,TRUE,R_3FWmNs5BUokE2x4,1,right,37,80,15,"English, French",genpop,5,4,4,3,2,5,5,4,5,4,4,3,4,5,4,5,1,4,3,3,2,4,2,3,3,5,3,3,3,5,4,2,4,4,2,4,5,3,3,3,2,1,4,2,4,4,2,4,4,4,3,2,4,3,4,2,3,2,4,5,4,3,3,4,4,4,3,4,2,3,4,5,4,4,3,3,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,3,4,5,5,3,4,5,5,2,3,3,3,2,2,5,1,4,4,2,4,2,5,5,5,1,4,2,4,1,4,5,4,4,3,5,1,2,1,3,4,1,1,1,1.176,249.872,253.661,46,Party,Fire,Gold,Good,Soap,Camp,Bow,Foot,Coffee,NA,1,NA,3.2941176470588234,3.7058823529411766,4.666666666666667,3,3.142857142857143,2.8333333333333335,3.5625,28,34,22,27,8,21,21,14
